"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"skillgroup","6877bbe6d5acfeeb0c57edfa","6877bbe6d5acfeeb0c57ebe1","skillgroup","2025-07-16T14:49:34.372Z","2025-07-16T14:49:34.372Z"
"skillgroup","6877bbe6d5acfeeb0c57ebe1","6877bbe6d5acfeeb0c57ebe2","skillgroup","2025-07-16T14:49:34.372Z","2025-07-16T14:49:34.372Z"
"skillgroup","6877bbe6d5acfeeb0c57ebe2","6877bbe6d5acfeeb0c57ebe3","skillgroup","2025-07-16T14:49:34.372Z","2025-07-16T14:49:34.372Z"
"skillgroup","6877bbe6d5acfeeb0c57ebe1","6877bbe6d5acfeeb0c57ebe4","skillgroup","2025-07-16T14:49:34.372Z","2025-07-16T14:49:34.372Z"
"skillgroup","6877bbe6d5acfeeb0c57ebe4","6877bbe6d5acfeeb0c57ebe5","skillgroup","2025-07-16T14:49:34.372Z","2025-07-16T14:49:34.372Z"
"skillgroup","6877bbe6d5acfeeb0c57ebe1","6877bbe6d5acfeeb0c57ebe6","skillgroup","2025-07-16T14:49:34.372Z","2025-07-16T14:49:34.372Z"
"skillgroup","6877bbe6d5acfeeb0c57ebe6","6877bbe6d5acfeeb0c57ebe7","skillgroup","2025-07-16T14:49:34.372Z","2025-07-16T14:49:34.372Z"
"skillgroup","6877bbe6d5acfeeb0c57ebe1","6877bbe6d5acfeeb0c57ebe8","skillgroup","2025-07-16T14:49:34.372Z","2025-07-16T14:49:34.372Z"
"skillgroup","6877bbe6d5acfeeb0c57ebe8","6877bbe6d5acfeeb0c57ebe9","skillgroup","2025-07-16T14:49:34.372Z","2025-07-16T14:49:34.372Z"
"skillgroup","6877bbe6d5acfeeb0c57ebe1","6877bbe6d5acfeeb0c57ebea","skillgroup","2025-07-16T14:49:34.372Z","2025-07-16T14:49:34.372Z"
"skillgroup","6877bbe6d5acfeeb0c57ebea","6877bbe6d5acfeeb0c57ebeb","skillgroup","2025-07-16T14:49:34.372Z","2025-07-16T14:49:34.372Z"
"skillgroup","6877bbe6d5acfeeb0c57edfa","6877bbe6d5acfeeb0c57ebec","skillgroup","2025-07-16T14:49:34.372Z","2025-07-16T14:49:34.372Z"
